video_id,video_title,views,watch_time_hours,subscribers_gained,publish_day,publish_hour
MW2BJ2rSmQQ,மோா் முறுக்கு | தேன்கூழல் | Butter Milk Murukku | Diwali Recipe | New Recipe 2018,1555,43.9686,19,Sunday,0.0
axk-61GkTVs,CRAZY Punishment ever | 30 Bananas Eating Challenge 6 Mins | Healthy Food Challenge Saranya & Santhi,1540,38.2265,7,Sunday,0.0
xFTyNAtAF6s,Petty Shop Biscuit Cake in Cooker and Kadai | இப்படிகூட கேக் செய்யமுடியுமா? | without Oven and Egg,1523,40.7688,0,Thursday,0.0
pObSfj4lTVU,N(Base2)aughty Ice Cream?? | இப்படி எல்லாம் கூட ஐஸ் கிரீம் இருக்கா!!!,1353,72.8074,9,Sunday,0.0
smXttOQ-HRU,Basundi | 2 ingredients Milk dessert ready | Milk dessert | Festival sweet | Diwali Recipe,1300,31.4776,4,Monday,0.0
CgUR3Z5WCDk,பிரம்மாண்ட பயணம் |Amazing Places |தாய்லாந்தில் தர்பார் |Top Places in Thailand |Tour Guide| சுற்றுலா,1283,51.8873,-3,Saturday,0.0
15_H_Ruop-Q,2 EASY BISCUIT/COOKIES RECIPE IN COOKER | EGG-LESS & WITHOUT OVEN in Tamil,1251,34.928,-2,Friday,0.0
tWce-alZ49A,"எழுந்தவுடன் முதலில் காபி / டீ  குடிப்பவரா நீங்கள்?? | ""Not to Skip"" Video | Coffee Good Or Bad??",1250,41.8935,16,Friday,0.0
guwTG4pPdvs,கிருஷ்ண ஜெயந்தி பூஜை முறை | Krishna Jayanthi Step by Step Guide | எங்கள் வீட்டு கிருஷ்ணர் லூட்டிகள்,1236,45.9181,-1,Thursday,0.0
_AzlnU6et1Q,Eggless Mug Cake Without oven in 2mins | Kids Favourite | Mug Cake in Idly Cooker in Tamil,1224,30.2233,6,Thursday,0.0
MHKcoY9naNA,Mindset is the first weapon| Focus on desire| MotivationalVideos| Motivationalquotes| Rise & Fight,1203,1.6649,2,Thursday,0.0
qYTHsdB9GJI,Healthy Beetroot ghee mysore pak #ytshorts #shorts #diwali #sweet,1156,5.6211,3,Friday,0.0
hkVrvIAZH2g,7 days 7 New Milkshake Ideas | 7 நாள் 7 வகையான Milkshake | New Milkshake methods,1143,49.6832,10,Saturday,0.0
tUJB9IbgN6o,Pachapayaru kootu| Pachapayaru kathirikai kootu| Fooddata| KaaramKaalaiKaapi|Greengram curry|kulambu,1137,6.1023,2,Tuesday,0.0
3aJkmxjP1GY,Homemade Dates Pan Beeda|Healthy Delight | Sweet receipe| Food data| Snacks for kids| @YouTube,1093,5.9155,2,Tuesday,0.0
YQKupJ0VtfU,கோவை சமையல் | Kongunattu Special Recipe | Lunch Menu | Quick Recipe | மின்னல் வேக சமையல்,1091,25.0886,15,Monday,0.0
bnJ8Tivmw0k,"Curry Leaf Infused Potato Roast! 🌿Side dish for Curd rice, Rasam, Variety rice, Chapathi, Parotta",1073,5.1831,3,Friday,0.0
lU7uNHk8sX4,Sliced Egg Masala Mix Dosa | Egg Dosa Variety,1072,17.7566,2,Thursday,0.0
c1ZXCt7SNFY,6 Egg Dosa Varieties | Now its EGGS Turn | 6 வகை முட்டை தோசைகள் | முட்டை தோசை,1032,38.1323,9,Saturday,0.0
