Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_day,publish_hour
lD0oSs9rRfU,"இப்படிதான் நான் திரும்பவும் எடை குறைத்து, கலர் ஆனேன்| My Skin Color Transformation Secret",30-06-2020,635,8563,364.5101,8,1.62,127058,4.6,Tuesday,0
u-DNbqh_cxE,Maybelline Products Review | Winter Offer | Baby Lips | 630 flaming fuchsia | Tinted LipBalm,06-11-2018,259,8370,120.5764,30,3.49,42846,10.54,Tuesday,0
oysqC_qd164,Saree-இல் (+)Size பெண்கள் Slim-ஆ தெரிய அட்டகாசமான Tricks & Tips| Tricks To Look Slim in Sarees,02-08-2020,613,7493,351.0301,-52,1.651,105205,3.6,Sunday,0
cuAPrrIIvRA,வேகமாக எடை குறைக்க சிறந்த காலை உணவு | Breakfast recipe for Healthy Weight Loss,08-08-2019,224,7472,186.1504,18,1.918,121199,3.99,Thursday,0
rwlhMyqD1ZY,❤️அப்பா❤️ #fatherdaughter #dad #relationship #missing #memories #trending #reels #tamilmotivation,03-08-2025,51,7297,13.4132,9,0.019,1769,2.94,Sunday,0
NEdXMiydEDs,Weight Loss Sweet Recipe-1 | Lock-Down Sweet to Lose Weight Fast | Quarantine Sweets for Weight Loss,01-05-2020,474,7283,284.1405,50,0.985,122535,4.1,Friday,0
nBUQubbl-Nw,Lose 4kgs | 1 Minute 1 Glass Weight Loss Challenge | Budget friendly Weight Loss Drink at home | KKK,31-12-2020,349,7145,260.7471,4,1.894,74229,7.46,Thursday,0
ZVK2H98fSIo,Shop 8 Sarees just Rs.1000●★ | KLM Fashion Mall | Each Saree Costs only Rs.125 | Bangalore Shopping,20-05-2019,385,6945,168.0653,29,1.894,148610,2.87,Monday,0
UawjsOBaZfQ,Paal kolukattai | inippu kolukattai| Fooddata| KaaramKaalaiKaapi | vinayagar chathurthi special,02-09-2024,60,6675,47.3812,9,0.062,4623,4.69,Monday,0
5H6g65_dkWo,"🔥15-20kgs குறைக்கும் டயட்- 🏋️No Exercise ""Top Best Diet"" Lose 15kgs weight| The best diet in India",25-08-2020,788,6411,314.3102,-110,2.934,124002,3.45,Tuesday,0
tkgsVEn8MzE,உடல் எடையை வேகமாக குறைக்க செய்யும் | டயட் இருப்பவர்கள் கண்டிப்பாக எடுத்துக்கவேண்டிய ஒன்று,19-08-2020,275,6293,174.559,-76,1.344,90480,4.43,Wednesday,0
M49tCL407B8,விசேஷங்களுக்கு முன் இதை தொடர்ந்து செய்தாலே முகம் ஜொலிஜொலிக்கும் | Skin Whitening Magical Drink,07-07-2019,281,6239,211.402,32,1.768,87232,3.99,Sunday,0
Xuurp3JKrwo,எங்கள் வீட்டு குட்டி கிருஷ்ணர் லூட்டிகள் | கிருஷ்ண ஜெயந்தி பூஜை முறை | Krishna Jayanthi Pooja,01-09-2018,605,6227,185.476,33,0.633,75445,5.59,Saturday,0
1HuvBBmI9yo,எனக்கு ஏன் எடை குறையவே இல்லை? Live உங்கள் கேள்விக்கான பதில்,22-06-2020,3032,5987,196.1669,-17,1.308,98537,3.67,Monday,0
Z82-2c8ZEas,"Extreme Weight Loss Drink| Loss Belly Fat Fast + Skin Glowing, Whitening Drink{Bridal Series}",03-03-2021,327,5973,173.3792,-379,2.961,111629,4.1,Wednesday,0
8dWU0cMpUuQ,Best Anti Aging Solution| அற்புத சக்தி கொண்ட பூ | எப்பேர்ப்பட்ட வயதான தோற்றத்தையும் ஜொலிக்க வைக்கும்,29-08-2019,312,5919,233.0002,55,2.002,151005,2.56,Thursday,0
YBnCqzcbDEk,TESTING Out Viral Life Hacks by 5 MINUTE CRAFTS in Tamil | Kaaramkaalaikaapi,23-02-2020,702,5794,275.8718,16,1.284,133067,3.21,Sunday,0
aYEyyhlbKq4,Offers & Discounts | Bangalore Shopping | Multi Store Shopping,30-10-2018,652,5790,274.606,48,0.342,102572,4.21,Tuesday,0
